iter	Passed	Remaining
0	168	16720
1	217	10681
2	264	8560
3	299	7177
4	334	6357
5	352	5525
6	380	5051
7	412	4742
8	446	4517
9	477	4294
10	509	4121
11	544	3993
12	581	3890
13	617	3791
14	650	3688
15	687	3607
16	732	3575
17	770	3511
18	826	3521
19	866	3466
20	905	3406
21	941	3339
22	980	3283
23	996	3154
24	1032	3096
25	1067	3037
26	1098	2971
27	1150	2958
28	1202	2942
29	1237	2887
30	1274	2836
31	1311	2786
32	1411	2866
33	1495	2902
34	1582	2938
35	1667	2964
36	1746	2974
37	1791	2922
38	1877	2937
39	1970	2956
40	2058	2961
41	2146	2963
42	2230	2956
43	2318	2950
44	2412	2948
45	2494	2928
46	2578	2907
47	2629	2848
48	2721	2832
49	2802	2802
50	2823	2712
51	2864	2644
52	2928	2596
53	2958	2520
54	2977	2436
55	3025	2376
56	3074	2319
57	3115	2256
58	3157	2194
59	3171	2114
60	3213	2054
61	3260	1998
62	3304	1940
63	3349	1883
64	3397	1829
65	3438	1771
66	3481	1714
67	3497	1645
68	3530	1586
69	3585	1536
70	3630	1483
71	3699	1438
72	3759	1390
73	3821	1342
74	3860	1286
75	3913	1235
76	3956	1181
77	3998	1127
78	4065	1080
79	4111	1027
80	4150	973
81	4189	919
82	4232	866
83	4272	813
84	4315	761
85	4354	708
86	4394	656
87	4442	605
88	4477	553
89	4509	501
90	4546	449
91	4592	399
92	4647	349
93	4663	297
94	4693	247
95	4725	196
96	4756	147
97	4790	97
98	4823	48
99	4855	0
